exposure_id,outcome_id,is.bestmatch,match.type,ETOS
bbj-a-1,bbj-a-137,TRUE,Exact Match,Body Mass Index-Osteoporosis and bbj-a-137
bbj-a-12,bbj-a-137,TRUE,Exact Match,Basophil counts-Osteoporosis and bbj-a-137
bbj-a-31,bbj-a-137,TRUE,Exact Match,LDL cholesterol-Osteoporosis and bbj-a-137
bbj-a-36,bbj-a-137,TRUE,Exact Match,Lymphocyte count-Osteoporosis and bbj-a-137
bbj-a-41,bbj-a-137,TRUE,Exact Match,Monocyte count-Osteoporosis and bbj-a-137
bbj-a-44,bbj-a-137,TRUE,Exact Match,Neutrophil count-Osteoporosis and bbj-a-137
bbj-a-49,bbj-a-137,TRUE,Exact Match,Platelet count-Osteoporosis and bbj-a-137
bbj-a-50,bbj-a-137,TRUE,Exact Match,RBC count-Osteoporosis and bbj-a-137
bbj-a-52,bbj-a-137,TRUE,Exact Match,Systolic Blood Pressure-Osteoporosis and bbj-a-137
bbj-a-57,bbj-a-137,TRUE,Exact Match,Urate-Osteoporosis and bbj-a-137
bbj-a-58,bbj-a-137,TRUE,Exact Match,WBC count-Osteoporosis and bbj-a-137
bbj-a-70,bbj-a-137,TRUE,Exact Match,Height-Osteoporosis and bbj-a-137
ebi-a-GCST006979,bbj-a-137,FALSE,Continental Mismatch,Bone mineral density-Osteoporosis and bbj-a-137
ebi-a-GCST008025,bbj-a-137,FALSE,Continental Mismatch,Body Mass Index-Osteoporosis and bbj-a-137
ebi-a-GCST008035,bbj-a-137,FALSE,Continental Mismatch,HDL cholesterol-Osteoporosis and bbj-a-137
ebi-a-GCST008037,bbj-a-137,FALSE,Continental Mismatch,LDL cholesterol-Osteoporosis and bbj-a-137
ebi-a-GCST008038,bbj-a-137,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Osteoporosis and bbj-a-137
ebi-a-GCST008039,bbj-a-137,FALSE,Continental Mismatch,Platelet count-Osteoporosis and bbj-a-137
ebi-a-GCST008052,bbj-a-137,FALSE,Continental Mismatch,Waist-hip ratio-Osteoporosis and bbj-a-137
ebi-a-GCST008053,bbj-a-137,FALSE,Continental Mismatch,Height-Osteoporosis and bbj-a-137
ebi-a-GCST90000618,bbj-a-137,FALSE,Continental Mismatch,Vitamin D-Osteoporosis and bbj-a-137
ebi-a-GCST90002295,bbj-a-137,FALSE,Continental Mismatch,Basophil counts-Osteoporosis and bbj-a-137
ebi-a-GCST90002301,bbj-a-137,FALSE,Continental Mismatch,Eosinophil count-Osteoporosis and bbj-a-137
ebi-a-GCST90002319,bbj-a-137,FALSE,Continental Mismatch,Lymphocyte count-Osteoporosis and bbj-a-137
ebi-a-GCST90002325,bbj-a-137,FALSE,Continental Mismatch,Mean corpuscular hemoglobin-Osteoporosis and bbj-a-137
ebi-a-GCST90002331,bbj-a-137,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Osteoporosis and bbj-a-137
ebi-a-GCST90002343,bbj-a-137,FALSE,Continental Mismatch,Monocyte count-Osteoporosis and bbj-a-137
ebi-a-GCST90002354,bbj-a-137,FALSE,Continental Mismatch,Neutrophil count-Osteoporosis and bbj-a-137
ebi-a-GCST90002360,bbj-a-137,FALSE,Continental Mismatch,Platelet count-Osteoporosis and bbj-a-137
ebi-a-GCST90002366,bbj-a-137,FALSE,Continental Mismatch,RBC count-Osteoporosis and bbj-a-137
ebi-a-GCST90002377,bbj-a-137,FALSE,Continental Mismatch,WBC count-Osteoporosis and bbj-a-137
ebi-a-GCST90002379,bbj-a-137,FALSE,Continental Mismatch,Basophil counts-Osteoporosis and bbj-a-137
ebi-a-GCST90002381,bbj-a-137,FALSE,Continental Mismatch,Eosinophil count-Osteoporosis and bbj-a-137
ebi-a-GCST90002390,bbj-a-137,FALSE,Continental Mismatch,Mean corpuscular hemoglobin-Osteoporosis and bbj-a-137
ebi-a-GCST90002391,bbj-a-137,FALSE,Continental Mismatch,Mean corpuscular hemoglobin concentration-Osteoporosis and bbj-a-137
ebi-a-GCST90002407,bbj-a-137,FALSE,Continental Mismatch,WBC count-Osteoporosis and bbj-a-137
ebi-a-GCST90013998,bbj-a-137,FALSE,Continental Mismatch,Urea-Osteoporosis and bbj-a-137
ebi-a-GCST90014015,bbj-a-137,FALSE,Continental Mismatch,Urate-Osteoporosis and bbj-a-137
ebi-a-GCST90018728,bbj-a-137,TRUE,Exact Match,Urea-Osteoporosis and bbj-a-137
