exposure_id,exposure_pop,outcome_id,outcome_pop,exposure.n
bbj-a-12,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),62076
ebi-a-GCST90002294,Hispanic meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),2969
ebi-a-GCST90002295,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8149
ebi-a-GCST90002379,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),408112
ebi-a-GCST90018946,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),441764
ukb-e-30160_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),6262
bbj-a-1,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),158284
ebi-a-GCST008025,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),49335
finngen_R10_BMI_IRN,FinnGen (Release 10),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),290820
ukb-b-19953,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),461460
ukb-b-2303,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),454884
ukb-e-23104_CSA,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8658
ebi-a-GCST006979,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),426824
GCST006433,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),394929
GCST90278621,Taiwan Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),92615
ebi-a-GCST008055,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),28520
ebi-a-GCST90018730,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),83025
ebi-a-GCST90018950,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),436491
GCST009777,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),418642
ebi-a-GCST90002301,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8142
ebi-a-GCST90002381,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),408112
ebi-a-GCST90018733,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),93063
ukb-e-30150_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),6262
ebi-a-GCST008035,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),33063
ebi-a-GCST90018736,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),74970
ebi-a-GCST90018956,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),390103
ebi-a-GCST90101746,Sub-Saharan African meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),24616
GCST90278635,Taiwan Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),92615
ieu-b-109,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),403943
bbj-a-70,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),159095
ebi-a-GCST008053,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),49796
ebi-a-GCST90018959,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),525444
finngen_R10_HEIGHT_IRN,FinnGen (Release 10),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),292707
GCST90013466,African meta-analysis (Nigeria + US),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),41389
GCST90278637,Taiwan Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),92615
ukb-b-10787,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),461950
ebi-a-GCST008034,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),11178
ebi-a-GCST90018738,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),71221
ebi-a-GCST90018958,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),415403
GCST90278632,Taiwan Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),92615
GCST90278633,Taiwan Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),92615
ukb-b-15590,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),462117
ukb-e-49_CSA,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8782
bbj-a-31,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),72866
ebi-a-GCST008037,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),32221
ebi-a-GCST90018961,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),416487
ebi-a-GCST90101745,Sub-Saharan African meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),24515
ieu-b-110,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),440546
bbj-a-36,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),62076
ebi-a-GCST90002318,Hispanic meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),7541
ebi-a-GCST90002319,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8163
ebi-a-GCST90018962,UKBB + BBJ meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),445573
ukb-d-30120_irnt,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),349856
ukb-e-30120_AFR,AFR (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),6262
ebi-a-GCST90002325,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8181
ebi-a-GCST90002390,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),408112
ebi-a-GCST90018744,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),128028
ebi-a-GCST008038,Majority Hispanic mega-analysis (Wojcik),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),19803
ebi-a-GCST90002331,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),8185
ebi-a-GCST90002391,UK Biobank,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),408112
ebi-a-GCST90018745,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),135482
bbj-a-41,Biobank Japan,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),62076
ebi-a-GCST90002342,Hispanic meta-analysis,ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),7543
ebi-a-GCST90002343,SAS (Pan-UK Biobank),ebi-a-GCST90027158,European Alzheimer & Dementia Biobank (EADB),7043
